id,project_name,poc,artifact_detail,feature_ref,used_year,feature_extended,alternate_poc
1,Movado,Anuj Jain,"",Taxation-Integration-Sabrix,2019,t,
2,Movado,Anuj Jain,"Capture, refund, cancel, auth reversal for Adyen",Payment-Integration-Adyen,2019,t,
3,POC,Anuj Jain,"",Payment-Integration-Spreedly,2019,t,
4,Movado,Anuj Jain,installment payment,Payment-Integration-Affirm,2019,t,
5,Movado,Anuj Jain,Refund and cancel extended features,Fraud Check-Integration-Riskified,2019,t,
6,Movado,Anuj Jain,"",Payment-Integration-Apple Pay,2019,t,
7,Movado,Anuj Jain,tax breakup by county at line item,Taxation-CustomFeature-Tax breakup,2019,t,
8,Diesel,Anuj Jain,2 click Express CheckOut,Express Shipping-Integration-ShopRunner,2015,f,
9,Diesel,Anuj Jain,"Integration with GSI, order management",Payment-Integration-GSI,2015,f,
10,Diesel,Anuj Jain,For checking order are being created or not,NFR-Tracking-Order Guard,2015,f,
11,Diesel,Anuj Jain,Newsletter/Marketing,Email Marketing-Integration-Exact Target,2015,f,
12,IBM Sterling,Anuj Jain,"",OMS-Integration-Sterling,2020,t,
13,Tapestry | Coach,Anuj Jain,custom code for GTM layer separation ,Analytics-Integration-GTM,2022,t,
14,Sothern Glazer's,Anuj Jain,"",Wishlist-CustomFeature-Save For Later On Cart,2018,t,
15,Sothern Glazer's,Anuj Jain,Address Validation,Address Validation-Integration-Ship Engine,2018,t,
16,Sothern Glazer's,Anuj Jain,"",Taxation-Integration-Avalara,2018,f,
17,Jenny Craig,Anuj Jain,"",Taxation-Integration-Vertex,2023,f,
18,Tapestry | Coach,Anuj Jain,"",Taxation-Integration-Vertex,2022,f,
19,Jenny Craig,Anuj Jain,"",CRM-SF Integration-Salesforce CRM,2023,f,
20,Jenny Craig,Anuj Jain,"",Payment-Integration-Cybersource,2023,f,
21,Jenny Craig,Anuj Jain,"",OMS-SF Integration-Salesforce OMS,2023,f,
22,Jenny Craig,Anuj Jain,"",Customer Service-SF Integration-Salesforce Service Cloud,2023,f,
23,Tapestry | Coach,Anuj Jain,"",Customer Service-SF Integration-Salesforce Service Cloud,2022,f,
24,Tapestry | Coach,Anuj Jain,"",Email Marketing-SF Integration-Salesforce Maketing Cloud,2022,t,
25,Jenny Craig,Anuj Jain,"",Email Marketing-Integration-Braze,2023,t,
26,TPC,Anuj Jain,"",Rating & Reviews-Integration-Bazaarvoice,2017,f,
27,TPC,Anuj Jain,"",Captcha-Integration-Recaptcha,2017,f,
28,Worldpay,Anuj Jain,"Payment processing for Cards, Tokenization, Client side encryption, hosted and non-Hosted  APM s via WorldPay",Payment-Integration-Worldpay,2018,t,
